cpu_load,queue_level,queue_dropped,process_jitter,process_deadline_miss,process_exec_time,process_stack_left,sensor_deadline_miss,comm_deadline_miss,health_label
18.0,1.0,0.0,3800.0,210.0,3800.0,392.0,210.0,210.0,1
18.0,1.0,0.0,3800.0,211.0,3800.0,392.0,211.0,211.0,1
17.0,1.0,0.0,3800.0,212.0,3800.0,392.0,212.0,212.0,1
18.0,1.0,0.0,3800.0,213.0,3800.0,392.0,213.0,213.0,1
18.0,1.0,0.0,3800.0,214.0,3800.0,392.0,214.0,214.0,1
18.0,1.0,0.0,3800.0,215.0,3800.0,392.0,215.0,215.0,1
18.0,1.0,0.0,3800.0,216.0,3800.0,392.0,216.0,216.0,1
17.0,1.0,0.0,3800.0,217.0,3800.0,392.0,217.0,217.0,1
17.0,1.0,0.0,3800.0,218.0,3800.0,392.0,218.0,218.0,1
18.0,1.0,0.0,3800.0,219.0,3800.0,392.0,219.0,219.0,1
18.0,1.0,0.0,3800.0,220.0,3800.0,392.0,220.0,220.0,1
18.0,1.0,0.0,3800.0,221.0,3800.0,392.0,221.0,221.0,1
18.0,1.0,0.0,3800.0,222.0,3800.0,392.0,222.0,222.0,1
18.0,1.0,0.0,3800.0,223.0,3800.0,392.0,223.0,223.0,1
17.0,1.0,0.0,3800.0,224.0,3800.0,392.0,224.0,224.0,1
17.0,1.0,0.0,3800.0,225.0,3800.0,392.0,225.0,225.0,1
18.0,1.0,0.0,3800.0,226.0,3800.0,392.0,226.0,226.0,1
18.0,1.0,0.0,3800.0,227.0,3800.0,392.0,227.0,227.0,1
18.0,1.0,0.0,3800.0,228.0,3800.0,392.0,228.0,228.0,1
17.0,1.0,0.0,3800.0,229.0,3800.0,392.0,229.0,229.0,1
17.0,1.0,0.0,3800.0,230.0,3800.0,392.0,230.0,230.0,1
18.0,1.0,0.0,3800.0,231.0,3800.0,392.0,231.0,231.0,1
17.0,1.0,0.0,3800.0,232.0,3800.0,392.0,232.0,232.0,1
18.0,1.0,0.0,3800.0,233.0,3800.0,392.0,233.0,233.0,1
18.0,1.0,0.0,3800.0,234.0,3800.0,392.0,234.0,234.0,1
18.0,1.0,0.0,3800.0,235.0,3800.0,392.0,235.0,235.0,1
18.0,1.0,0.0,3800.0,236.0,3800.0,392.0,236.0,236.0,1
17.0,1.0,0.0,3800.0,237.0,3800.0,392.0,237.0,237.0,1
17.0,1.0,0.0,3800.0,238.0,3800.0,392.0,238.0,238.0,1
18.0,1.0,0.0,3800.0,239.0,3800.0,392.0,239.0,239.0,1
18.0,1.0,0.0,3800.0,240.0,3800.0,392.0,240.0,240.0,1
18.0,1.0,0.0,3800.0,241.0,3800.0,392.0,241.0,241.0,1
18.0,1.0,0.0,3800.0,242.0,3800.0,392.0,242.0,242.0,1
18.0,1.0,0.0,3800.0,243.0,3800.0,392.0,243.0,243.0,1
18.0,1.0,0.0,3800.0,244.0,3800.0,392.0,244.0,244.0,1
18.0,1.0,0.0,3800.0,245.0,3800.0,392.0,245.0,245.0,1
17.0,1.0,0.0,3800.0,246.0,3800.0,392.0,246.0,246.0,1
17.0,1.0,0.0,3800.0,247.0,3800.0,392.0,247.0,247.0,1
18.0,1.0,0.0,3800.0,248.0,3800.0,392.0,248.0,248.0,1
18.0,1.0,0.0,3800.0,249.0,3800.0,392.0,249.0,249.0,1
18.0,1.0,0.0,3800.0,250.0,3800.0,392.0,250.0,250.0,1
17.0,1.0,0.0,3800.0,251.0,3800.0,392.0,251.0,251.0,1
17.0,1.0,0.0,3800.0,252.0,3800.0,392.0,252.0,252.0,1
17.0,1.0,0.0,3800.0,253.0,3800.0,392.0,253.0,253.0,1
18.0,1.0,0.0,3800.0,254.0,3800.0,392.0,254.0,254.0,1
18.0,1.0,0.0,3800.0,255.0,3800.0,392.0,255.0,255.0,1
18.0,1.0,0.0,3800.0,256.0,3800.0,392.0,256.0,256.0,1
18.0,1.0,0.0,3800.0,257.0,3800.0,392.0,257.0,257.0,1
17.0,1.0,0.0,3800.0,258.0,3800.0,392.0,258.0,258.0,1
17.0,1.0,0.0,3800.0,259.0,3800.0,392.0,259.0,259.0,1
17.0,1.0,0.0,3800.0,260.0,3800.0,392.0,260.0,260.0,1
18.0,1.0,0.0,3800.0,261.0,3800.0,392.0,261.0,261.0,1
18.0,1.0,0.0,3800.0,262.0,3800.0,392.0,262.0,262.0,1
18.0,1.0,0.0,3800.0,263.0,3800.0,392.0,263.0,263.0,1
18.0,1.0,0.0,3800.0,264.0,3800.0,392.0,264.0,264.0,1
17.0,1.0,0.0,3800.0,265.0,3800.0,392.0,265.0,265.0,1
17.0,1.0,0.0,3800.0,266.0,3800.0,392.0,266.0,266.0,1
17.0,1.0,0.0,3800.0,267.0,3800.0,392.0,267.0,267.0,1
18.0,1.0,0.0,3800.0,268.0,3800.0,392.0,268.0,268.0,1
18.0,1.0,0.0,3800.0,269.0,3800.0,392.0,269.0,269.0,1
0.0,1.0,0.0,482.0,38.0,382.0,384.0,7.0,5.0,0
7.0,0.0,0.0,382.0,42.0,382.0,384.0,7.0,6.0,0
1.0,1.0,0.0,382.0,45.0,382.0,384.0,8.0,6.0,0
2.0,0.0,0.0,382.0,49.0,382.0,384.0,8.0,7.0,0
0.0,0.0,0.0,382.0,52.0,382.0,384.0,9.0,7.0,0
7.0,0.0,0.0,482.0,56.0,382.0,384.0,10.0,8.0,0
0.0,0.0,0.0,382.0,59.0,382.0,384.0,10.0,8.0,0
7.0,0.0,0.0,382.0,63.0,382.0,384.0,11.0,9.0,0
0.0,0.0,0.0,382.0,66.0,382.0,384.0,11.0,9.0,0
7.0,0.0,0.0,382.0,70.0,382.0,384.0,12.0,10.0,0
0.0,1.0,0.0,382.0,73.0,382.0,384.0,13.0,10.0,0
7.0,0.0,0.0,382.0,77.0,382.0,384.0,13.0,11.0,0
0.0,1.0,0.0,482.0,80.0,382.0,384.0,14.0,11.0,0
7.0,0.0,0.0,382.0,84.0,382.0,384.0,14.0,12.0,0
0.0,1.0,0.0,382.0,87.0,382.0,384.0,15.0,12.0,0
2.0,0.0,0.0,382.0,91.0,382.0,384.0,15.0,13.0,0
0.0,0.0,0.0,382.0,94.0,382.0,384.0,16.0,13.0,0
7.0,0.0,0.0,482.0,98.0,382.0,384.0,17.0,14.0,0
0.0,0.0,0.0,382.0,101.0,382.0,384.0,17.0,14.0,0
7.0,0.0,0.0,382.0,105.0,382.0,384.0,18.0,15.0,0
0.0,0.0,0.0,382.0,108.0,382.0,384.0,18.0,15.0,0
7.0,0.0,0.0,382.0,112.0,382.0,384.0,19.0,16.0,0
0.0,1.0,0.0,382.0,115.0,382.0,384.0,20.0,16.0,0
7.0,0.0,0.0,382.0,119.0,382.0,384.0,20.0,17.0,0
0.0,1.0,0.0,482.0,122.0,382.0,384.0,21.0,17.0,0
7.0,0.0,0.0,382.0,126.0,382.0,384.0,21.0,18.0,0
0.0,1.0,0.0,382.0,129.0,382.0,384.0,22.0,18.0,0
2.0,0.0,0.0,382.0,133.0,382.0,384.0,22.0,19.0,0
0.0,0.0,0.0,382.0,136.0,382.0,384.0,23.0,19.0,0
7.0,0.0,0.0,482.0,140.0,382.0,384.0,24.0,20.0,0
0.0,0.0,0.0,382.0,143.0,382.0,384.0,24.0,20.0,0
7.0,0.0,0.0,382.0,147.0,382.0,384.0,25.0,21.0,0
0.0,0.0,0.0,382.0,150.0,382.0,384.0,25.0,21.0,0
7.0,0.0,0.0,382.0,154.0,382.0,384.0,26.0,22.0,0
0.0,1.0,0.0,382.0,157.0,382.0,384.0,27.0,22.0,0
7.0,0.0,0.0,382.0,161.0,382.0,384.0,27.0,23.0,0
0.0,1.0,0.0,482.0,164.0,382.0,384.0,28.0,23.0,0
7.0,0.0,0.0,382.0,168.0,382.0,384.0,28.0,24.0,0
0.0,1.0,0.0,382.0,171.0,382.0,384.0,29.0,24.0,0
2.0,0.0,0.0,382.0,175.0,382.0,384.0,29.0,25.0,0
0.0,0.0,0.0,382.0,178.0,382.0,384.0,30.0,25.0,0
7.0,0.0,0.0,482.0,182.0,382.0,384.0,31.0,26.0,0
0.0,0.0,0.0,382.0,185.0,382.0,384.0,31.0,26.0,0
7.0,0.0,0.0,382.0,189.0,382.0,384.0,32.0,27.0,0
0.0,0.0,0.0,382.0,192.0,382.0,384.0,32.0,27.0,0
7.0,0.0,0.0,382.0,196.0,382.0,384.0,33.0,28.0,0
0.0,1.0,0.0,382.0,199.0,382.0,384.0,34.0,28.0,0
7.0,0.0,0.0,382.0,203.0,382.0,384.0,34.0,29.0,0
0.0,1.0,0.0,482.0,206.0,382.0,384.0,35.0,29.0,0
7.0,0.0,0.0,382.0,210.0,382.0,384.0,35.0,30.0,0
0.0,1.0,0.0,382.0,213.0,382.0,384.0,36.0,30.0,0
2.0,0.0,0.0,382.0,217.0,382.0,384.0,36.0,31.0,0
0.0,0.0,0.0,382.0,220.0,382.0,384.0,37.0,31.0,0
7.0,0.0,0.0,482.0,224.0,382.0,384.0,38.0,32.0,0
0.0,0.0,0.0,382.0,227.0,382.0,384.0,38.0,32.0,0
7.0,0.0,0.0,382.0,231.0,382.0,384.0,39.0,33.0,0
0.0,0.0,0.0,382.0,234.0,382.0,384.0,39.0,33.0,0
7.0,0.0,0.0,382.0,238.0,382.0,384.0,40.0,34.0,0
0.0,1.0,0.0,382.0,241.0,382.0,384.0,41.0,34.0,0
7.0,0.0,0.0,382.0,245.0,382.0,384.0,41.0,35.0,0
0.0,1.0,0.0,482.0,248.0,382.0,384.0,42.0,35.0,0
7.0,0.0,0.0,382.0,252.0,382.0,384.0,42.0,36.0,0
0.0,1.0,0.0,382.0,255.0,382.0,384.0,43.0,36.0,0
2.0,0.0,0.0,382.0,259.0,382.0,384.0,43.0,37.0,0
0.0,0.0,0.0,382.0,262.0,382.0,384.0,44.0,37.0,0
7.0,0.0,0.0,482.0,266.0,382.0,384.0,45.0,38.0,0
0.0,0.0,0.0,382.0,269.0,382.0,384.0,45.0,38.0,0
7.0,0.0,0.0,382.0,273.0,382.0,384.0,46.0,39.0,0
0.0,0.0,0.0,382.0,276.0,382.0,384.0,46.0,39.0,0
7.0,0.0,0.0,382.0,280.0,382.0,384.0,47.0,40.0,0
0.0,1.0,0.0,382.0,283.0,382.0,384.0,48.0,40.0,0
7.0,0.0,0.0,382.0,287.0,382.0,384.0,48.0,41.0,0
0.0,1.0,0.0,482.0,290.0,382.0,384.0,49.0,41.0,0
7.0,0.0,0.0,382.0,294.0,382.0,384.0,49.0,42.0,0
0.0,1.0,0.0,382.0,297.0,382.0,384.0,50.0,42.0,0
2.0,0.0,0.0,382.0,301.0,382.0,384.0,50.0,43.0,0
0.0,0.0,0.0,382.0,304.0,382.0,384.0,51.0,43.0,0
7.0,0.0,0.0,482.0,308.0,382.0,384.0,52.0,44.0,0
0.0,0.0,0.0,382.0,311.0,382.0,384.0,52.0,44.0,0
7.0,0.0,0.0,382.0,315.0,382.0,384.0,53.0,45.0,0
0.0,0.0,0.0,382.0,318.0,382.0,384.0,53.0,45.0,0
7.0,0.0,0.0,382.0,322.0,382.0,384.0,54.0,46.0,0
0.0,1.0,0.0,382.0,325.0,382.0,384.0,55.0,46.0,0
7.0,0.0,0.0,382.0,329.0,382.0,384.0,55.0,47.0,0
0.0,1.0,0.0,482.0,332.0,382.0,384.0,56.0,47.0,0
7.0,0.0,0.0,382.0,336.0,382.0,384.0,56.0,48.0,0
0.0,1.0,0.0,382.0,339.0,382.0,384.0,57.0,48.0,0
2.0,0.0,0.0,382.0,343.0,382.0,384.0,57.0,49.0,0
0.0,0.0,0.0,382.0,346.0,382.0,384.0,58.0,49.0,0
7.0,0.0,0.0,482.0,350.0,382.0,384.0,59.0,50.0,0
0.0,0.0,0.0,382.0,353.0,382.0,384.0,59.0,50.0,0
7.0,0.0,0.0,382.0,357.0,382.0,384.0,60.0,51.0,0
0.0,0.0,0.0,382.0,360.0,382.0,384.0,60.0,51.0,0
7.0,0.0,0.0,382.0,364.0,382.0,384.0,61.0,52.0,0
0.0,1.0,0.0,382.0,367.0,382.0,384.0,62.0,52.0,0
7.0,0.0,0.0,382.0,371.0,382.0,384.0,62.0,53.0,0
0.0,1.0,0.0,482.0,374.0,382.0,384.0,63.0,53.0,0
7.0,0.0,0.0,382.0,378.0,382.0,384.0,63.0,54.0,0
0.0,1.0,0.0,382.0,381.0,382.0,384.0,64.0,54.0,0
2.0,0.0,0.0,382.0,385.0,382.0,384.0,64.0,55.0,0
0.0,0.0,0.0,0.0,0.0,382.0,392.0,0.0,0.0,2
0.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,1.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,3.0,2
11.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,4.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,6.0,2
11.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,7.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,9.0,2
11.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,10.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,12.0,2
11.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,13.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,15.0,2
11.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,16.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,18.0,2
11.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,19.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,21.0,2
11.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,22.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,24.0,2
11.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,25.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,27.0,2
11.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,28.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,30.0,2
11.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,31.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,33.0,2
11.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,34.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,36.0,2
11.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,37.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,39.0,2
11.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,40.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,42.0,2
11.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,43.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,45.0,2
11.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,46.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,48.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,49.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,51.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,52.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,54.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,55.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,57.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,58.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,60.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,61.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,63.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,64.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,66.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,67.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,69.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,70.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,72.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,73.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,75.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,76.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,78.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,79.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,81.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,82.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,84.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,85.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,87.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,88.0,2
5.0,0.0,0.0,514.0,90.0,414.0,114.0,12.0,9.0,2
1.0,0.0,0.0,414.0,93.0,414.0,114.0,12.0,9.0,2
1.0,0.0,0.0,442.0,97.0,414.0,114.0,12.0,10.0,2
10.0,0.0,0.0,414.0,100.0,414.0,114.0,13.0,10.0,2
1.0,0.0,0.0,414.0,103.0,414.0,114.0,13.0,11.0,2
1.0,1.0,0.0,514.0,106.0,414.0,114.0,14.0,11.0,2
10.0,0.0,0.0,414.0,110.0,414.0,114.0,14.0,11.0,2
1.0,1.0,0.0,442.0,113.0,414.0,114.0,15.0,12.0,2
1.0,1.0,0.0,414.0,116.0,414.0,114.0,15.0,12.0,2
8.0,0.0,0.0,414.0,120.0,414.0,114.0,15.0,12.0,2
1.0,0.0,0.0,414.0,123.0,414.0,114.0,16.0,13.0,2
1.0,0.0,0.0,414.0,126.0,414.0,114.0,16.0,13.0,2
5.0,0.0,0.0,514.0,130.0,414.0,114.0,17.0,13.0,2
1.0,0.0,0.0,414.0,133.0,414.0,114.0,17.0,14.0,2
1.0,0.0,0.0,442.0,137.0,414.0,114.0,17.0,14.0,2
10.0,0.0,0.0,414.0,140.0,414.0,114.0,18.0,14.0,2
1.0,0.0,0.0,414.0,143.0,414.0,114.0,18.0,15.0,2
1.0,1.0,0.0,514.0,146.0,414.0,114.0,19.0,15.0,2
10.0,0.0,0.0,414.0,150.0,414.0,114.0,19.0,16.0,2
1.0,1.0,0.0,442.0,153.0,414.0,114.0,20.0,16.0,2
1.0,1.0,0.0,414.0,156.0,414.0,114.0,20.0,16.0,2
8.0,0.0,0.0,414.0,160.0,414.0,114.0,20.0,17.0,2
0.0,0.0,0.0,414.0,163.0,414.0,114.0,21.0,17.0,2
1.0,0.0,0.0,414.0,166.0,414.0,114.0,21.0,17.0,2
5.0,0.0,0.0,514.0,170.0,414.0,114.0,22.0,18.0,2
1.0,0.0,0.0,414.0,173.0,414.0,114.0,22.0,18.0,2
1.0,0.0,0.0,442.0,177.0,414.0,114.0,22.0,18.0,2
10.0,0.0,0.0,414.0,180.0,414.0,114.0,23.0,19.0,2
